episode,qlearning_reward,qlearning_length,qlearning_success,qlearning_eps,prospect_reward,prospect_length,prospect_success,prospect_eps,sarsa_reward,sarsa_length,sarsa_success,sarsa_eps,double_q_reward,double_q_length,double_q_success,double_q_eps,ucb_reward,ucb_length,ucb_success,ucb_eps,expected_sarsa_reward,expected_sarsa_length,expected_sarsa_success,expected_sarsa_eps
124,-144.5655,180,0,0.391394,-144.4720,180,0,0.873229,-144.6204,180,0,0.746134,-144.6346,180,0,0.290590,-144.5276,180,0,0.000000,-144.5586,180,0,0.593298
125,-144.6224,180,0,0.388444,-144.5469,180,0,0.872275,-144.5470,180,0,0.744374,-144.5843,180,0,0.287709,-144.5581,180,0,0.000000,-144.5698,180,0,0.590805
126,-144.6528,180,0,0.385517,-144.5314,180,0,0.871322,-144.5772,180,0,0.742618,-144.5940,180,0,0.284856,-144.5260,180,0,0.000000,-144.5009,180,0,0.588323
127,-144.5653,180,0,0.382611,-144.4950,180,0,0.870370,-144.5096,180,0,0.740866,-144.5592,180,0,0.282031,-144.5684,180,0,0.000000,-144.6580,180,0,0.585851
128,-144.5500,180,0,0.379728,-144.5032,180,0,0.869419,-144.6002,180,0,0.739118,-144.5465,180,0,0.279234,-144.5629,180,0,0.000000,-144.5737,180,0,0.583390
129,-144.5549,180,0,0.376866,-144.4948,180,0,0.868469,-144.5297,180,0,0.737375,-144.5372,180,0,0.276465,-144.5635,180,0,0.000000,-144.6224,180,0,0.580939
130,-144.6194,180,0,0.374026,-144.5437,180,0,0.867520,-144.4835,180,0,0.735635,-144.4974,180,0,0.273723,-144.6024,180,0,0.000000,-144.5562,180,0,0.578498
131,-144.5424,180,0,0.371207,-144.4726,180,0,0.866572,-144.6053,180,0,0.733900,-144.5441,180,0,0.271008,-144.6729,180,0,0.000000,-144.5706,180,0,0.576068
132,-144.6000,180,0,0.368410,-144.5621,180,0,0.865625,-144.5811,180,0,0.732169,-144.5299,180,0,0.268321,-144.5566,180,0,0.000000,-144.6518,180,0,0.573647
133,-144.5593,180,0,0.365633,-144.4821,180,0,0.864679,-144.5324,180,0,0.730442,-144.5671,180,0,0.265660,-144.6361,180,0,0.000000,-144.5294,180,0,0.571237
134,-144.5767,180,0,0.362878,-144.4639,180,0,0.863735,-144.6062,180,0,0.728719,-144.5689,180,0,0.263025,-144.5731,180,0,0.000000,-144.5561,180,0,0.568837
135,-144.5538,180,0,0.360143,-144.5080,180,0,0.862791,-144.5485,180,0,0.727000,-144.5729,180,0,0.260417,-144.5163,180,0,0.000000,-144.4901,180,0,0.566447
136,-144.5701,180,0,0.357429,-144.5257,180,0,0.861848,-144.5826,180,0,0.725285,-144.5959,180,0,0.257834,-144.5403,180,0,0.000000,-144.5353,180,0,0.564068
137,-144.5364,180,0,0.354735,-144.5221,180,0,0.860907,-144.5344,180,0,0.723574,-144.4999,180,0,0.255277,-144.5899,180,0,0.000000,-144.5812,180,0,0.561698
138,-144.6004,180,0,0.352062,-144.5347,180,0,0.859966,-144.5491,180,0,0.721867,-144.6053,180,0,0.252746,-144.5398,180,0,0.000000,-144.5330,180,0,0.559338
